name,idx,base_start,mult,d1,d2,pstart,pend,nlayovers,dtime,shour,mlegs,charter
760BUR03,64252,BUR,1,2025-02-03,2025-02-03,1738614000.0,1738634700.0,0,20700,12,2,False
201LAS03,64253,LAS,1,2025-02-03,2025-02-03,1738605600.0,1738635000.0,0,29400,10,2,False
750DAL03,64254,DAL,2,2025-02-03,2025-02-04,1738591200.0,1738729200.0,1,29100,8,3,False
775BUR03,64255,BUR,1,2025-02-03,2025-02-03,1738599300.0,1738632300.0,0,33000,8,4,False
460SCF03,64256,SCF,1,2025-02-03,2025-02-03,1738596600.0,1738617600.0,0,21000,8,2,False
900DAL03,64257,DAL,1,2025-02-03,2025-02-03,1738597800.0,1738637400.0,0,39600,9,4,False
170BUR03,64258,BUR,1,2025-02-03,2025-02-03,1738592100.0,1738622400.0,0,30300,6,4,False
141BUR03,64259,BUR,1,2025-02-03,2025-02-03,1738612200.0,1738644300.0,0,32100,11,4,False
720SNA03,64260,SNA,1,2025-02-03,2025-02-03,1738602000.0,1738634100.0,0,32100,9,4,False
470SCF03,64261,SCF,1,2025-02-03,2025-02-03,1738594200.0,1738625100.0,0,30900,7,3,False
302LAS03,64262,LAS,1,2025-02-03,2025-02-03,1738606500.0,1738636200.0,0,29700,10,4,False
620LAS03,64263,LAS,1,2025-02-03,2025-02-03,1738601100.0,1738636800.0,0,35700,8,4,False
109LAS03,64264,LAS,1,2025-02-03,2025-02-03,1738621500.0,1738649700.0,0,28200,14,4,False
320LAS03,64265,LAS,1,2025-02-03,2025-02-03,1738603800.0,1738633200.0,0,29400,9,4,False
370LAS03,64266,LAS,1,2025-02-03,2025-02-03,1738602900.0,1738632000.0,0,29100,9,4,False
490SCF03,64267,SCF,1,2025-02-03,2025-02-03,1738604700.0,1738637700.0,0,33000,10,4,False
108BUR03,64268,BUR,1,2025-02-03,2025-02-03,1738619700.0,1738647900.0,0,28200,13,4,False
760BUR04,64269,BUR,1,2025-02-04,2025-02-04,1738700400.0,1738734300.0,0,33900,12,4,False
472SCF04,64270,SCF,1,2025-02-04,2025-02-04,1738687800.0,1738719900.0,0,32100,9,4,False
490SCF04,64271,SCF,1,2025-02-04,2025-02-04,1738691100.0,1738725900.0,0,34800,10,4,False
654LAS04,64272,LAS,1,2025-02-04,2025-02-04,1738681800.0,1738713600.0,0,31800,7,4,False
400SCF04,64273,SCF,1,2025-02-04,2025-02-04,1738679400.0,1738711500.0,0,32100,7,4,False
109LAS04,64274,LAS,1,2025-02-04,2025-02-04,1738705800.0,1738733400.0,0,27600,13,4,False
290DAL04,64275,DAL,1,2025-02-04,2025-02-04,1738688400.0,1738721700.0,0,33300,11,4,False
101LAS04,64276,LAS,1,2025-02-04,2025-02-04,1738677600.0,1738708800.0,0,31200,6,4,False
280DAL04,64277,DAL,2,2025-02-04,2025-02-05,1738671300.0,1738815600.0,1,30300,6,3,False
176BUR04,64278,BUR,1,2025-02-04,2025-02-04,1738713000.0,1738730700.0,0,17700,15,2,False
106BUR04,64279,BUR,1,2025-02-04,2025-02-04,1738690800.0,1738720500.0,0,29700,9,4,False
322LAS04,64280,LAS,1,2025-02-04,2025-02-04,1738708800.0,1738724400.0,0,15600,14,2,False
177OAK04,64281,OAK,1,2025-02-04,2025-02-04,1738711800.0,1738730100.0,0,18300,15,2,False
171OAK04,64282,OAK,1,2025-02-04,2025-02-04,1738678500.0,1738711500.0,0,33000,6,4,False
280DAL05,64283,DAL,2,2025-02-05,2025-02-06,1738757700.0,1738902000.0,1,30300,6,3,False
108BUR05,64284,BUR,1,2025-02-05,2025-02-05,1738788900.0,1738820700.0,0,31800,12,4,False
101LAS05,64285,LAS,1,2025-02-05,2025-02-05,1738764000.0,1738795200.0,0,31200,6,4,False
170BUR05,64286,BUR,1,2025-02-05,2025-02-05,1738764900.0,1738792500.0,0,27600,6,4,False
322LAS05,64287,LAS,1,2025-02-05,2025-02-05,1738795200.0,1738810800.0,0,15600,14,2,False
176BUR05,64288,BUR,1,2025-02-05,2025-02-05,1738799400.0,1738817100.0,0,17700,15,2,False
177OAK05,64289,OAK,1,2025-02-05,2025-02-05,1738798200.0,1738816500.0,0,18300,15,2,False
171OAK05,64290,OAK,1,2025-02-05,2025-02-05,1738764900.0,1738797900.0,0,33000,6,4,False
408SCF05,64291,SCF,1,2025-02-05,2025-02-05,1738796700.0,1738812300.0,0,15600,16,2,False
760BUR05,64292,BUR,1,2025-02-05,2025-02-05,1738786800.0,1738807500.0,0,20700,12,2,False
109LAS05,64293,LAS,1,2025-02-05,2025-02-05,1738792200.0,1738819800.0,0,27600,13,4,False
290DAL05,64294,DAL,1,2025-02-05,2025-02-05,1738774800.0,1738808100.0,0,33300,11,4,False
654LAS05,64295,LAS,1,2025-02-05,2025-02-05,1738768200.0,1738800000.0,0,31800,7,4,False
400SCF05,64296,SCF,1,2025-02-05,2025-02-05,1738765800.0,1738797900.0,0,32100,7,4,False
472SCF05,64297,SCF,1,2025-02-05,2025-02-05,1738774200.0,1738806300.0,0,32100,9,4,False
300LAS06,64298,LAS,1,2025-02-06,2025-02-06,1738854000.0,1738884600.0,0,30600,7,4,False
775BUR06,64299,BUR,1,2025-02-06,2025-02-06,1738858500.0,1738893900.0,0,35400,8,4,False
476SCF06,64300,SCF,1,2025-02-06,2025-02-06,1738856700.0,1738885200.0,0,28500,8,4,False
750DAL06,64301,DAL,2,2025-02-06,2025-02-07,1738850400.0,1738976400.0,1,34200,8,3,False
904BUR06,64302,BUR,1,2025-02-06,2025-02-06,1738853100.0,1738888500.0,0,35400,6,4,False
101LAS06,64303,LAS,1,2025-02-06,2025-02-06,1738850400.0,1738878900.0,0,28500,6,4,False
1060DAL06,64304,DAL,2,2025-02-06,2025-02-07,1738864200.0,1738975200.0,1,31500,11,2,False
100BUR06,64305,BUR,1,2025-02-06,2025-02-06,1738850400.0,1738877700.0,0,27300,6,4,False
400SCF06,64306,SCF,1,2025-02-06,2025-02-06,1738852200.0,1738884300.0,0,32100,7,4,False
171OAK06,64307,OAK,1,2025-02-06,2025-02-06,1738851300.0,1738884300.0,0,33000,6,4,False
302LAS06,64308,LAS,1,2025-02-06,2025-02-06,1738865700.0,1738896300.0,0,30600,10,4,False
490SCF06,64309,SCF,1,2025-02-06,2025-02-06,1738863900.0,1738901700.0,0,37800,10,4,False
108BUR06,64310,BUR,1,2025-02-06,2025-02-06,1738878900.0,1738907100.0,0,28200,13,4,False
460SCF06,64311,SCF,2,2025-02-06,2025-02-07,1738855800.0,1738982400.0,1,38100,8,4,False
304LAS06,64312,LAS,1,2025-02-06,2025-02-06,1738879500.0,1738895400.0,0,15900,14,2,False
170BUR06,64313,BUR,1,2025-02-06,2025-02-06,1738851300.0,1738881600.0,0,30300,6,4,False
201LAS06,64314,LAS,1,2025-02-06,2025-02-06,1738864800.0,1738894200.0,0,29400,10,2,False
286DAL06,64315,DAL,1,2025-02-06,2025-02-06,1738879200.0,1738894500.0,0,15300,16,2,False
900DAL06,64316,DAL,1,2025-02-06,2025-02-06,1738843200.0,1738882800.0,0,39600,6,4,False
408SCF06,64317,SCF,1,2025-02-06,2025-02-06,1738889400.0,1738905000.0,0,15600,17,2,False
720SNA06,64318,SNA,1,2025-02-06,2025-02-06,1738861200.0,1738893300.0,0,32100,9,4,False
470SCF06,64319,SCF,1,2025-02-06,2025-02-06,1738853400.0,1738891500.0,0,38100,7,4,False
141BUR06,64320,BUR,1,2025-02-06,2025-02-06,1738871400.0,1738903500.0,0,32100,11,4,False
620LAS06,64321,LAS,1,2025-02-06,2025-02-06,1738861200.0,1738897800.0,0,36600,9,4,False
320LAS06,64322,LAS,1,2025-02-06,2025-02-06,1738863000.0,1738891200.0,0,28200,9,4,False
280DAL06,64323,DAL,1,2025-02-06,2025-02-06,1738844100.0,1738876500.0,0,32400,6,4,False
654LAS06,64324,LAS,1,2025-02-06,2025-02-06,1738858800.0,1738892100.0,0,33300,8,4,False
202DAL06,64325,DAL,2,2025-02-06,2025-02-07,1738857900.0,1738980900.0,1,34500,10,3,False
476SCF07,64326,SCF,1,2025-02-07,2025-02-07,1738943100.0,1738971600.0,0,28500,8,4,False
280DAL07,64327,DAL,1,2025-02-07,2025-02-07,1738930500.0,1738946100.0,0,15600,6,2,False
400SCF07,64328,SCF,1,2025-02-07,2025-02-07,1738938600.0,1738970700.0,0,32100,7,4,False
302LAS07,64329,LAS,1,2025-02-07,2025-02-07,1738952100.0,1738980900.0,0,28800,10,4,False
370LAS07,64330,LAS,1,2025-02-07,2025-02-07,1738948500.0,1738977600.0,0,29100,9,4,False
206DAL07,64331,DAL,1,2025-02-07,2025-02-07,1738949400.0,1738979400.0,0,30000,11,2,False
654LAS07,64332,LAS,1,2025-02-07,2025-02-07,1738945200.0,1738978500.0,0,33300,8,4,False
750DAL07,64333,DAL,2,2025-02-07,2025-02-08,1738936800.0,1739065800.0,1,27900,8,3,False
402SCF07,64334,SCF,1,2025-02-07,2025-02-07,1738970100.0,1738988100.0,0,18000,16,2,False
720SNA07,64335,SNA,1,2025-02-07,2025-02-07,1738947600.0,1738979700.0,0,32100,9,4,False
200DAL07,64336,DAL,2,2025-02-07,2025-02-08,1738964100.0,1739075700.0,1,30600,15,3,False
320LAS07,64337,LAS,1,2025-02-07,2025-02-07,1738949400.0,1738981800.0,0,32400,9,4,False
408SCF07,64338,SCF,1,2025-02-07,2025-02-07,1738975800.0,1738991400.0,0,15600,17,2,False
177OAK07,64339,OAK,1,2025-02-07,2025-02-07,1738971000.0,1738989300.0,0,18300,15,2,False
490SCF07,64340,SCF,1,2025-02-07,2025-02-07,1738950300.0,1738983300.0,0,33000,10,4,False
620LAS07,64341,LAS,1,2025-02-07,2025-02-07,1738946700.0,1738982400.0,0,35700,8,4,False
300LAS07,64342,LAS,1,2025-02-07,2025-02-07,1738940400.0,1738971000.0,0,30600,7,4,False
470SCF07,64343,SCF,1,2025-02-07,2025-02-07,1738939800.0,1738977900.0,0,38100,7,4,False
171OAK07,64344,OAK,1,2025-02-07,2025-02-07,1738937700.0,1738970700.0,0,33000,6,4,False
123LAS07,64345,LAS,1,2025-02-07,2025-02-07,1738950300.0,1738978800.0,0,28500,9,4,False
170BUR07,64346,BUR,1,2025-02-07,2025-02-07,1738937700.0,1738968000.0,0,30300,6,4,False
141BUR07,64347,BUR,1,2025-02-07,2025-02-07,1738957800.0,1738989900.0,0,32100,11,4,False
109LAS07,64348,LAS,1,2025-02-07,2025-02-07,1738967100.0,1738995300.0,0,28200,14,4,False
900DAL07,64349,DAL,1,2025-02-07,2025-02-07,1738929600.0,1738969200.0,0,39600,6,4,False
108BUR07,64350,BUR,1,2025-02-07,2025-02-07,1738965300.0,1738993500.0,0,28200,13,4,False
775BUR07,64351,BUR,1,2025-02-07,2025-02-07,1738944900.0,1738980300.0,0,35400,8,4,False
904BUR07,64352,BUR,1,2025-02-07,2025-02-07,1738939500.0,1738977900.0,0,38400,6,4,False
100BUR07,64353,BUR,1,2025-02-07,2025-02-07,1738936800.0,1738964100.0,0,27300,6,4,False
202DAL08,64354,DAL,2,2025-02-08,2025-02-09,1739031000.0,1739149200.0,1,34200,10,3,False
